Customer Complaint,Complaint Category
I am being charged double for my ticket bookING.,Ticketing & Reservation Issues
Passenger assault with no punishment implemented.,Security & Safety Concerns
Overcrowded waiting hall with no appropriate seating arrangement.,Seat Allocation Issues
Comfort stations did not exist on the whole rail route.,Train & Station Infrastructure
Airport authorities refused to provide information about train timelines.,Train Delays & Cancellations
Flight cancellation due to weather conditions was NOT mentioned.,Ticketing & Reservation Issues
Frequent cancelations of thisroutearecauseofproblems.,Train Delays & Cancellations
Not enough seats for the total number of participants.,Seat Allocation Issues
Toilet facilities weren’t cleaned for the entire journey.,Coach Cleanliness & Hygiene
The online reservation system is notworking.,Ticketing & Reservation Issues
Garbage was left behind on the platform.,Luggage & Belongings Issues
Outdated information about train diversions.,Customer Service & Staff Complaints
They refused to provide any information about train timetables.,Train Delays & Cancellations
Every year there is a foul smell internal to the compartment.,Coach Cleanliness & Hygiene
Your service was delayed by more than 5 hours.,Train Delays & Cancellations
They refusd to give information about Train timings.,Train & Station Infrastructure
Extraneous questions were being asked by the staff.,Customer Service & Staff Complaints
Seat cleaning staff did not clean the seat.,Customer Service & Staff Complaints
There was an obvious flaw in the railway signal.,Train & Station Infrastructure
Outside food and drink were allowed on the platform.,Food & Catering Issues
UNAUTHORIZED PEOPLE WERE OPENING PERSONAL LIBRARIES.,Security & Safety Concerns
Pest control officers did not remove the waste.,Security & Safety Concerns
"Your website states that I can claim compensation. But, there is no update about its settlement.",Ticketing & Reservation Issues
Nowhere in the whole coach was there a proper seat alignment.,Seat Allocation Issues
Frequent delay of this route is causing problem.,Train Delays & Cancellations
Please provide me with information about schedules. ,Train Delays & Cancellations
The Railway Staff mishandled my baggage.,Customer Service & Staff Complaints
Free WiFi was not available on the platforms.,Ticketing & Reservation Issues
Attendants refused to provides information about Train timelines.,Train Delays & Cancellations
Prices for tickets have increased recently.,Ticketing & Reservation Issues
Animal feces were present outside the train.,Coach Cleanliness & Hygiene
Not enough seaters for the total fare paid.,Seat Allocation Issues
Resistant buttons on my ticket were not working.,Ticketing & Reservation Issues
The waiting hall had no proper seat arrangement.,Seat Allocation Issues
Buses running outside the railroad was dangerous.,Train & Station Infrastructure
Trashed papers were left outside the train.,Coach Cleanliness & Hygiene
Two trains ran without any delay.,Train Delays & Cancellations
Only one assistant was assigned to all the first class seats.,Seat Allocation Issues
"Wherever there's a fence, there isn't a security personnel.",Security & Safety Concerns
Partial cancellation of the journey has occurred.,Ticketing & Reservation Issues
There was little security personnel on the platform.,Security & Safety Concerns
The train had unauthorised passengers traveling without tickets.,Ticketing & Reservation Issues
Rescheduling of this train is not considered a delay.,Train Delays & Cancellations
Toilets were not cleaned for the entire journey.,Coach Cleanliness & Hygiene
A meal served without any food item.,Food & Catering Issues
Buses ran outside the railway tracks.,Train & Station Infrastructure
TTE alloted my reserved seat to another passenger.,Seat Allocation Issues
No prior update about thedelay of the Train.,Train Delays & Cancellations
Spiders and other insects were present inside the train.,Coach Cleanliness & Hygiene
Trash was left floating in the railroad.,Coach Cleanliness & Hygiene
Pest control officers did not remove the flies.,Security & Safety Concerns
Outside assistants were providing transport services.,Customer Service & Staff Complaints
Seats within the train were broken and uncomfi…,Train & Station Infrastructure
Ordered food never reached My compartment.,Food & Catering Issues
Mumbai Railway Police force was unaware of train timetables.,Train Delays & Cancellations
There's no proper system to claim lost luggage.,Luggage & Belongings Issues
Stray Animals Were Roaming On The Trail.,Security & Safety Concerns
Your website states that I could claim a refund. But there is noupdate About it.,Ticketing & Reservation Issues
"Okinawa train schedule is highly Unreliable.
",Train Delays & Cancellations
All meals were pre-packaged and unsalty.,Food & Catering Issues
Temperature inside the train was highly uncomfitu’t.,Train & Station Infrastructure
"After paying online,my ticket Wascancelledwithout AnyNotification. ",Ticketing & Reservation Issues
My bag was missing when I arrived at my destination.,Luggage & Belongings Issues
Just before the train was delayed by more than 4 hours.,Train Delays & Cancellations
Language difficulties were experienced by both the guests and crewmembers.,Customer Service & Staff Complaints
Like tickets were issued without customers' payment.,Ticketing & Reservation Issues
The railway staff mishandled my baggage.,Customer Service & Staff Complaints
Train conductor ignoredmy complaint completely.,Customer Service & Staff Complaints
No prior update About the delay of the train.,Train Delays & Cancellations
Air conditioning did not work throughout the journey.,Train & Station Infrastructure
Outstation passengers had NO secure way to carry their goods.,Train & Station Infrastructure
Members were allowed to carry baggage.,Luggage & Belongings Issues
Rescheduled train timing causes major inconvenience.,Train Delays & Cancellations
Ordered food never arrived in my comfort box.,Food & Catering Issues
Frequent cancellation of this route is causing problem. ,Ticketing & Reservation Issues
Escape trains are not safe.,Security & Safety Concerns
Indian officials refused to Provide information about train timelines.,Train Delays & Cancellations
Unauthorized people wereOpening Passports.,Security & Safety Concerns
Free WiFi was not available on the Platform.,Ticketing & Reservation Issues
Warning lights were not working.,Train & Station Infrastructure
There should be a regular bus service between the railway station and my city.,Train & Station Infrastructure
They refused to supply information about train timings.,Train & Station Infrastructure
The steward was rude and unfhelpful.,Customer Service & Staff Complaints
There was an air quality warning issued.,Train & Station Infrastructure
Rescheduled train timing caused major inconvenience. ,Train Delays & Cancellations
The waiting hall had no proper seat alignment.,Seat Allocation Issues
Human waste was dumped into the rail tracks.,Train & Station Infrastructure
Via stations have no proper infrastructures.,Train & Station Infrastructure
NCA refused to provide any information about train timelines.,Train Delays & Cancellations
Passengers refused to provide information about railway jobs.,Customer Service & Staff Complaints
As there is none security personnel in the whole coalition.,Security & Safety Concerns
Seats near the front were broken and unequal.,Train & Station Infrastructure
Track maintenance resulted in delays of more than 5 hours.,Train Delays & Cancellations
Refund formy cancelled tika hasnot been processed yet.,Ticketing & Reservation Issues
Ordered food never came in my compartment.,Food & Catering Issues
Spiders and other insects were presentinside thetrain.,Coach Cleanliness & Hygiene
Fees for early departure of the train are high.,Ticketing & Reservation Issues
There's little security personnel on the platform.,Security & Safety Concerns
TTE allotted my reserved sea td.,Seat Allocation Issues
I received no confirmation regarding my reservation.,Ticketing & Reservation Issues
Not enough lighting on the platform at night.,Train & Station Infrastructure
The platform was extremely dirty with no cleaning staff.,Customer Service & Staff Complaints
Stray animals were roaming on the train.,Security & Safety Concerns
Passengers refused to provide information about Train timings. ,Train & Station Infrastructure
Okinawa train schedule is highly unreliable. ,Train Delays & Cancellations
Flight cancellation due to weather conditions was not mentioned.,Ticketing & Reservation Issues
The meal served was stale and undeveloped.,Food & Catering Issues
Third party companies are providing rail services now.,Customer Service & Staff Complaints
Refund formy cancelled trip hasnot been processed yet.,Ticketing & Reservation Issues
It was difficult to find your way around thetrain.,Train & Station Infrastructure
No help or assistance was provided.,Customer Service & Staff Complaints
Seats outside the train were broken and unequal.,Train & Station Infrastructure
Trash was dumped inside the railway tracks.,Train & Station Infrastructure
Toilet facilities were not cleaned for the entire journey.,Coach Cleanliness & Hygiene
Servers were rude and unwhelpful.,Customer Service & Staff Complaints
Inclement weather caused the train delays.,Train Delays & Cancellations
Outside food and drink were allowed on theplatform.,Food & Catering Issues
Air conditioning did not work during the whole journey.,Train & Station Infrastructure
As there Was No Security Personnel In The Entire Coach.,Security & Safety Concerns
Meals served were stale and unafitto distribute.,Food & Catering Issues
Fast food stalls opened inside the train.,Food & Catering Issues
TTE allowed my friend to travel without my ticket.,Ticketing & Reservation Issues
Linens and clothes were wrapped and not cleaned.,Coach Cleanliness & Hygiene
There should be a regular bus service between the station and my city.,Train & Station Infrastructure
"After confirmation, no update was given About my reservation.",Ticketing & Reservation Issues
Accidents have occurred on the railway premises.,Security & Safety Concerns
Refreshments were NOT offered During the entire journey.,Food & Catering Issues
My ticket was canceled without any notification.,Ticketing & Reservation Issues
Seats that were not allocated when reserved.,Seat Allocation Issues
I am waiting for my wallet recovery.,Security & Safety Concerns
No assistance was provided for senior citizens.,Customer Service & Staff Complaints
Flight delays of more than 5 hours are unacceptable.,Train Delays & Cancellations
The airconditioning was non-functional during the entire journey.,Train & Station Infrastructure
"After confirmation, no update was given About My Booking.",Ticketing & Reservation Issues
Escalators at the station werenon working.,Train & Station Infrastructure
Passengers refused to provide information about train timetables.,Train Delays & Cancellations
Refund formy canceled ticket hasnot beenProcessed yet.,Ticketing & Reservation Issues
Air conditioning did not work throughout the journey. ,Train & Station Infrastructure
Offered seating was dirty and unhygienic.,Coach Cleanliness & Hygiene
Mechanical issues with thetrain were reported.,Train & Station Infrastructure
Please assist me in recovering my deposit.,Ticketing & Reservation Issues
Many trains were delayed by more than 5 hours.,Train Delays & Cancellations
Inclement weather caused the train to be delayed by more than 5 hours.,Train Delays & Cancellations
Indian officials rejected my claims completely.,Ticketing & Reservation Issues
Nearest railway station is more than 100 km away.,Train & Station Infrastructure
Garbage was dumped outside the train.,Luggage & Belongings Issues
It took over 48 hours to receive my trip receipt.,Ticketing & Reservation Issues
All my documents were missing when I arrived atmy destination.,Security & Safety Concerns
The air quality was highly unsafe to travel by train.,Security & Safety Concerns
You had NO drinking water available at the station.,Train & Station Infrastructure
Timekeepers ignored my timing completely.,Train Delays & Cancellations
Free WiFi was not offered on the platform.,Ticketing & Reservation Issues
I couldn't reserve my seat online.,Seat Allocation Issues
The coach was incredibly dirty and unhygienic.,Coach Cleanliness & Hygiene
Overcrowded waiting hall with no proper seating arrangement.,Seat Allocation Issues
"After confirmation, there is no update About the delay of the Train.",Train Delays & Cancellations
I am still awaiting my refund for My cancellation fee.,Ticketing & Reservation Issues
Staff refused to provide information about train timetables.,Customer Service & Staff Complaints
Buses running outside the railroad is a danger.,Train & Station Infrastructure
Frequent cancelations of this route are causing problems.,Train Delays & Cancellations
I had no previous cancellation update about this route.,Ticketing & Reservation Issues
Pest control officers didnot remove the flies.,Security & Safety Concerns
Refused drinks were delivered to the seat. ,Seat Allocation Issues
Successful travellers carried their belongings without any bag tag.,Luggage & Belongings Issues
Servers overcharged for the tickets.,Ticketing & Reservation Issues
You had no drinking water available at the station.,Train & Station Infrastructure
Inadequate security measures in the whole coach.,Security & Safety Concerns
As there is no security personnel in the entirecoach.,Security & Safety Concerns
All my documents were missing when I arrived at my destination.,Security & Safety Concerns
Toilets weren’t cleaned for the entire journal.,Coach Cleanliness & Hygiene
Almost every bus had a foul smell internal.,Coach Cleanliness & Hygiene
Not enough seats for the total fare paid.,Seat Allocation Issues
Organization was unaware of the weather conditions.,Train & Station Infrastructure
Stale food was still present when they were served.,Food & Catering Issues
Rescheduling of the train by morethan 5 hours is not acceptable.,Train Delays & Cancellations
No drinking water was available at the station.,Train & Station Infrastructure
Access to my baggage was denied when I arrived atmy destination.,Luggage & Belongings Issues
"My wallet was stolen, and no help wasprovided.",Security & Safety Concerns
Seats in the second class were broken and uncomfortable.,Train & Station Infrastructure
They refused to provide information about train timelines. ,Train Delays & Cancellations
Nearest railroad station is more than 100 kilometers away.,Train & Station Infrastructure
Unauthorized persons were openning passengers’ bags.,Security & Safety Concerns
Forced bodily experiences were carried out by staff.,Customer Service & Staff Complaints
Refused alcohol was delivered to the seat.,Seat Allocation Issues
My luggage was missing when I arrivedatmydestination.,Luggage & Belongings Issues
The platform was extremely dirty with no clear cleaning Staff.,Customer Service & Staff Complaints
Resistant buttons on my ticket werenotworking.,Ticketing & Reservation Issues
My belongings were stolen from the overhead rack.,Luggage & Belongings Issues
Okinawatrain had unaired footage of crime happening on the train.,Security & Safety Concerns
The coach was extremely dirty and unhygienic.,Coach Cleanliness & Hygiene
Mechanics lost or damaged passengers records.,Train & Station Infrastructure
I was charged twice for my ticket bookeing.,Ticketing & Reservation Issues
My ticket was canceledwithout anyNotification.,Ticketing & Reservation Issues
One person was sleeping inside the train.,Coach Cleanliness & Hygiene
These trains have unique schedules.,Train Delays & Cancellations
Frayed or broken wires were presentinside thetrain.,Train & Station Infrastructure
Nearest railway station is more than 300 kilometers away. ,Train & Station Infrastructure
Pests and insects were present within the railway infrastructure.,Train & Station Infrastructure
"As there is no regular bus service, I am unable to arrive atmy destination.",Customer Service & Staff Complaints
Electric poles were placed against the train track.,Train & Station Infrastructure
You couldn't alice your bag.,Luggage & Belongings Issues
Not enough seats for the total number of passengers booked.,Seat Allocation Issues
No assistance was given by the employees.,Customer Service & Staff Complaints
Drinks and snacks were NOT available during the entire journey.,Food & Catering Issues
Airport authorities refused to Provide information about train timings.,Train & Station Infrastructure
Attendants refused to give information about Train timetables.,Train Delays & Cancellations
Outside drinking is not permitted.,Seat Allocation Issues
Attendants rejected my claim completely.,Ticketing & Reservation Issues
No prior updateAbout TheDelay Of The Train.,Train Delays & Cancellations
Trains are beingcancelledwithout anyNotification.,Train Delays & Cancellations
Crossing guards didnot help with buses.,Train & Station Infrastructure
Seats were not allocated when reserved.,Seat Allocation Issues
The railway personnel was rude and unhelpful.,Customer Service & Staff Complaints
Air conditioning didnot work during the entire journey.,Train & Station Infrastructure
Rescheduled Train Times Are Unknown.,Train Delays & Cancellations
Seat assignments were not confirmed prior to the train arrival.,Seat Allocation Issues
Servers were rusted and broken.,Train & Station Infrastructure
As there was no security personnel in the whole coach.,Security & Safety Concerns
This train had unauthoized passengers traveling without tickets.,Ticketing & Reservation Issues
Temperature inside the train was highly uncomfortable.,Train & Station Infrastructure
Harsh weather conditions leading to train delays.,Train Delays & Cancellations
Software issues caused by the platform were reported.,Train & Station Infrastructure
"Whenever there was any foulsmoke or smoke, nobody did anything.",Coach Cleanliness & Hygiene
Access was denied to my luggage.,Luggage & Belongings Issues
Stray Animals Were Roamling On The Railways.,Security & Safety Concerns
I experienced an accident on the railway tracks.,Security & Safety Concerns
Free WiFi was NOT available on the platform.,Ticketing & Reservation Issues
No drinking water Wasavailable at the station.,Train & Station Infrastructure
Temperature inside thetrain was highly uncomfortable.,Train & Station Infrastructure
As there is no security personnel in the whole coach.,Security & Safety Concerns
Indian officials refused to provide information about train timetables.,Train Delays & Cancellations
Stray animals were roaming on the railroad.,Security & Safety Concerns
Ordered food never came in my compartment even after confirmation.,Food & Catering Issues
Some staff members ignored my complaint completely.,Customer Service & Staff Complaints
Trash was left floating in the railway track.,Train & Station Infrastructure
Crewmembers ignored my complaint entirely.,Customer Service & Staff Complaints
Reschedule of the train caused major inconvenience. ,Train Delays & Cancellations
Maximum weight allowed for baggage is 50 kgs. ,Luggage & Belongings Issues
The waiting hall had no proper seating arrangement.,Seat Allocation Issues
Seat availability was not confirmed before the train departure.,Seat Allocation Issues
Last minute changes in the train timing.,Train & Station Infrastructure
Nowhere sufficient was offered to eat.,Food & Catering Issues
The air conditiioner wasn’t working during the entire journey.,Train & Station Infrastructure
Sleeping arrangements were not mentioned in the occupancy chart.,Train & Station Infrastructure
Little or nonexistent helpdesk staff.,Customer Service & Staff Complaints
"My wallet was stolen, and Nobody Helped Me.",Security & Safety Concerns
Pest control measures were not implemented.,Coach Cleanliness & Hygiene
There was an foul smell inside the compartment.,Coach Cleanliness & Hygiene
My ticket had been cancelled without any notification.,Ticketing & Reservation Issues
Your website states that I could claim compensation.,Ticketing & Reservation Issues
Backpacks and bags were not permitted to be carried.,Seat Allocation Issues
Rescheduling of the Train by more than 5 hours is not acceptable. ,Train Delays & Cancellations
Passports and tickets were stolen.,Ticketing & Reservation Issues
Flight cancellation due to weather conditions.,Ticketing & Reservation Issues
Just before thetrain was delayed by more than 5 hours.,Train Delays & Cancellations
Refund claims have not been resolved yet.,Ticketing & Reservation Issues
Online reservation is not available.,Ticketing & Reservation Issues
No help was given by the personnel.,Customer Service & Staff Complaints
Horses were used as transportation on the railway track.,Train & Station Infrastructure
Keeping wild animals in cages is cruel.,Security & Safety Concerns
Frequent cancelations of this route are causing problem.,Train Delays & Cancellations
Hotels near the station were expensive.,Train & Station Infrastructure
There Is No Security Personnel In The Entire Coach.,Security & Safety Concerns
Seat availability was not confirmed prior to the train departure.,Seat Allocation Issues
"Before departure, no update was provides Aboutthe delayofthe train.",Train Delays & Cancellations
There should be an regular bus service between the railways and the city.,Customer Service & Staff Complaints
Real time updates about train delays are not available.,Train Delays & Cancellations
No Prior Update About The Delay Of The Train.,Train Delays & Cancellations
Seats inside the train were broken and uncomfortable.,Train & Station Infrastructure
Crew members refused to provide information about Train timings.,Train & Station Infrastructure
I had no previous cancellation update About this route.,Ticketing & Reservation Issues
No prior update about the delayed train. ,Train Delays & Cancellations
TTE allottedmy reserved Seat to another passenger.,Seat Allocation Issues
There is always an foul smell inside the compartment.,Coach Cleanliness & Hygiene
Refund for my cancelled ticket has not been processing yet.,Ticketing & Reservation Issues
Pests and insects were present outsidethetrain.,Coach Cleanliness & Hygiene
"Whenever there's any flaw or issue, no action is taken.",Coach Cleanliness & Hygiene
Toilets weren’t cleaned for the whole journey.,Coach Cleanliness & Hygiene
The airconditioning was not working during the entire journey.,Train & Station Infrastructure
Wet floors were encountered when I stood by the window.,Coach Cleanliness & Hygiene
There Was No Security Personnel In The Entire Coach.,Security & Safety Concerns
Greasy cups were held over the top of the coach.,Coach Cleanliness & Hygiene
Frequentcancelationofthisrouteiscauseofproblems.,Train Delays & Cancellations
Trunk opening was not secured despite security warnings.,Security & Safety Concerns
No update about the delay of the train.,Train Delays & Cancellations
"I had no previous cancellation update About this route.
",Ticketing & Reservation Issues
"Toilet facilities weren't cleaned for the entire journey.
",Coach Cleanliness & Hygiene
"When I arrived at my destination, there was no security personnel.",Security & Safety Concerns
Seats within thetrain were broken and uncomfortable.,Train & Station Infrastructure
Crew members refused to provide information about train timetables.,Train Delays & Cancellations
Response time was very long. ,Train Delays & Cancellations
Refund formy canceled tickettc hasnot been processed yet.,Ticketing & Reservation Issues
Ordered meals never arrived in my compartment.,Food & Catering Issues
Heated seats did not operate throughout the journey.,Seat Allocation Issues
It was extremely hot with no shaded seating option.,Seat Allocation Issues
Server wasn’t responding when requested.,Ticketing & Reservation Issues
The airconditioning Was Not Working During The Whole Journey.,Train & Station Infrastructure
It was difficult to find my way around the train.,Train & Station Infrastructure
Backpacks and bags were not allowed to be carried.,Luggage & Belongings Issues
Okinawa train schedule is highly Uncertain.,Train Delays & Cancellations
Platform was really dirty with no cleaning Staff.,Customer Service & Staff Complaints
As there is no security personnel in the entire coach.,Security & Safety Concerns
The overhead fan was NOT working during the whole journey.,Train & Station Infrastructure
"Before departure,no update was givenabout thedelay of the train.",Train Delays & Cancellations
Access was denied to my bag.,Luggage & Belongings Issues
Beliefs or practices related to religion were displayed inside the train.,Train Delays & Cancellations
I am being charged twice for my ticket booking.,Ticketing & Reservation Issues
Private trains are causing damage to rail infrastructure.,Train & Station Infrastructure
Seat availability was not confirmed before the departure of the train.,Seat Allocation Issues
Pests and insects were present outside thetrain.,Coach Cleanliness & Hygiene
My bag was missing when I arrived At my destination.,Luggage & Belongings Issues
Last minute changes in the train timings. ,Train & Station Infrastructure
Frequentcancelationsofthisroutearecauseofproblems.,Train Delays & Cancellations
The platform was really dirty with no cleaning Staff.,Customer Service & Staff Complaints
Air conditioning wasn't working during the entire journey.,Train & Station Infrastructure
NTT cars were being operated by the Railway staff.,Customer Service & Staff Complaints
As there is no secure place to store the passport.,Security & Safety Concerns
No help or assistance was offered.,Customer Service & Staff Complaints
Trains were delayed by more than 5 hours.,Train Delays & Cancellations
Rejection of my application has occurred.,Ticketing & Reservation Issues
Seats within the train were broken and unequal.,Train & Station Infrastructure
Some passengers refused to provide information about train timelines.,Train Delays & Cancellations
Refund for my cancelled trip has not been processed yet.,Ticketing & Reservation Issues
Toilets weren't cleaned for the entire journal.,Coach Cleanliness & Hygiene
Women were given separate seats.,Seat Allocation Issues
Buses ran beyond the scheduled timing.,Train Delays & Cancellations
It’s difficult to find your way around the train.,Train & Station Infrastructure
Indian officials rejected my claim entirely.,Ticketing & Reservation Issues
Lack of proper lighting on the platform at night.,Train & Station Infrastructure
Members weren’t allowed to enter the railway premises.,Security & Safety Concerns
Last minute changes in the schedule of the train.,Train Delays & Cancellations
Rejection of my application by the website.,Ticketing & Reservation Issues
Toilets were not cleaned for the whole journey.,Coach Cleanliness & Hygiene
Fast food stalls opened within the Railway premises.,Food & Catering Issues
Air conditioning didn't work during the entire journey.,Train & Station Infrastructure
Free wifi was not available on the platform.,Ticketing & Reservation Issues
The online ticketing system is notworking.,Ticketing & Reservation Issues
The waiting hall has no proper seating arrangement.,Seat Allocation Issues
Response time was very long.,Train Delays & Cancellations
"After confirmation,no update was provided About My Booking.",Ticketing & Reservation Issues
Confusion among passenger led to delay in the scheduled train arrival.,Train Delays & Cancellations
Online bookings are not available.,Ticketing & Reservation Issues
Rescheduling of this train by more than 5 hours is not acceptable.,Train Delays & Cancellations
Seats were allocated without my confirmation.,Seat Allocation Issues
I was charged twice for My Ticket Booking.,Ticketing & Reservation Issues
Lack of proper lighting on the platforms at night.,Train & Station Infrastructure
"Flight delays beyond expected times.
",Train Delays & Cancellations
Pests and insects were present within the railways.,Coach Cleanliness & Hygiene
Unauthorized persons were closing the platform.,Security & Safety Concerns
I am still awaiting payment for my ticket bookling.,Ticketing & Reservation Issues
Beliefs or practices related to religion were displayed outside the trains.,Train Delays & Cancellations
Airconditioning was NOT worked during the whole journey.,Train & Station Infrastructure
They refused to provide information about Train timings.,Train & Station Infrastructure
Refund formy canceled ticket hasnot been processed yet.,Ticketing & Reservation Issues
Escalators at the station were non-functional. ,Train & Station Infrastructure
Frequent cancellation ofthis route is causing issues. ,Ticketing & Reservation Issues
Walkway between the train and the station was unaware of its presence.,Train & Station Infrastructure
Having tickets printed by others is not permitted.,Ticketing & Reservation Issues
Good service had been previously delivered.,Customer Service & Staff Complaints
Inadequately lit coaches at night.,Train & Station Infrastructure
There's no security personnel in the entire coalition.,Security & Safety Concerns
"When I reunited with my baggage, nobody recieved it.",Luggage & Belongings Issues
My baggage was missing when I arrived atmy destination.,Luggage & Belongings Issues
Receipt for my ticket was not generated.,Ticketing & Reservation Issues
Spiders and other bugs were presentinside the train.,Coach Cleanliness & Hygiene
Restrained guests were opening visitors’ bags.,Luggage & Belongings Issues
Seats were covered with dirt and stains.,Seat Allocation Issues
Frequentcancelations ofthisroutearecauseofproblems.,Train Delays & Cancellations
Refund claims have yet to be processed.,Ticketing & Reservation Issues
Food quality was very poor and unhygienic.,Food & Catering Issues
Toilet facilities weren't cleaned for the entire journal.,Coach Cleanliness & Hygiene
Free tickets were distributed without any prior registration.,Ticketing & Reservation Issues
Pests and insects were present inside thetrain.,Coach Cleanliness & Hygiene
Attendants refused to provide information about Train timetables. ,Train Delays & Cancellations
"When I reunited withmy baggage,no recoverywas made.",Luggage & Belongings Issues
Medical staff ignored my mother's health concerns completely.,Customer Service & Staff Complaints
Indian officials refused to provide information about train timelines.,Train Delays & Cancellations
The railway staff was rude and unhelpful.,Customer Service & Staff Complaints
No help or assistance was given.,Customer Service & Staff Complaints
Free WiFi was not available on the website.,Ticketing & Reservation Issues
Pests and insects were present within the railroad infrastructure.,Train & Station Infrastructure
Frequent wait times for the train.,Train Delays & Cancellations
Roads leading to the station were very bad with no maintenance.,Train & Station Infrastructure
Your service was delayed by more than 5 hours. ,Train Delays & Cancellations
There seems to be an foul smell external to the compartment.,Coach Cleanliness & Hygiene
Rescheduling of the train has become a regular occurrence.,Train Delays & Cancellations
Lack of appropriate lighting on the platforms at night.,Train & Station Infrastructure
Stray Animals Were Roaming On The Train.,Security & Safety Concerns
Electric poles were placed against the train tracks.,Train & Station Infrastructure
Students were allowed to board the train without tickets.,Ticketing & Reservation Issues
Meal servers were unaware of the menu options.,Ticketing & Reservation Issues
There was nobody in the entire coach.,Coach Cleanliness & Hygiene
My baggage was missing when I arrivd atmydestination.,Luggage & Belongings Issues
Doors were opened even when there was NO security personel.,Security & Safety Concerns
There may be a foul smell inside the compartment.,Coach Cleanliness & Hygiene
Inadequate security measures in the entire coalition.,Security & Safety Concerns
Comfort items like pillows and blankets were not supplied.,Food & Catering Issues
My baggage was missing when I arrived at my destination. ,Luggage & Belongings Issues
I experienced a foul smell inside the compartment.,Coach Cleanliness & Hygiene
No advance update About the delay of the train.,Train Delays & Cancellations
Missed trains are becoming more frequent.,Train Delays & Cancellations
I am still awaiting My Ticket Confirmation.,Ticketing & Reservation Issues
Wild animals or birds were roaming in the rail tracks.,Security & Safety Concerns
As there isn't much security personnel.,Security & Safety Concerns
Packages or clothing were stolen from the baggage compartment.,Luggage & Belongings Issues
They refused to provide information about Train timelines.,Train Delays & Cancellations
Stray animals were roaming on the railway track.,Security & Safety Concerns
The online reservation system is not Working. ,Ticketing & Reservation Issues
Medicine available at the station was expired.,Train & Station Infrastructure
Pests and insects were presentinside thetrain.,Coach Cleanliness & Hygiene
There was a fistfight between passengers.,Security & Safety Concerns
Free tickets were provided without any previous registration.,Ticketing & Reservation Issues
Seats were not allocated when reserved even after confirmation.,Seat Allocation Issues
The coaching was really dirty and unhygienic.,Coach Cleanliness & Hygiene
Forced wait in the station.,Train & Station Infrastructure
Forced alcohol consumption by employees.,Customer Service & Staff Complaints
"Whenever there was any foul smell or stink, nobody doing anything.",Coach Cleanliness & Hygiene
Bees were flying in the air near the railway track.,Train & Station Infrastructure
Outdoor seating was not allowed.,Seat Allocation Issues
Chronic failures of the power supply may occur.,Train & Station Infrastructure
Track repairs without notice.,Train & Station Infrastructure
Seat availability Was Not Confirmed Prior To The Departure Of The Train.,Seat Allocation Issues
Seats that were not allocated when the reservation was confirmed.,Ticketing & Reservation Issues
The air conditioning was NOT working during the entire journey.,Train & Station Infrastructure
Overcrowding in the general coaching led to safety concerns.,Security & Safety Concerns
Leaves and branches were broken inside thetrain.,Train & Station Infrastructure
Return tickets are not available.,Ticketing & Reservation Issues
These trains have diverse schedules.,Train Delays & Cancellations
Toilet facilities were not cleaned for the entire journal.,Coach Cleanliness & Hygiene
Chalk marks were maintained on the floor.,Coach Cleanliness & Hygiene
The waiting hall had no appropriate seating arrangement.,Seat Allocation Issues
There was no drinking wateravailable at the station.,Train & Station Infrastructure
Equipment broke down during the entire journey.,Train & Station Infrastructure
Last minute changes in the railway timetable.,Train Delays & Cancellations
Slow pace of train.,Train & Station Infrastructure
The online booking system is notworking.,Ticketing & Reservation Issues
The Air Conditioning was not Working during the entire journey.,Train & Station Infrastructure
No update about the delay ofthe train.,Train Delays & Cancellations
Toilet facilities were not available during the entire journey.,Coach Cleanliness & Hygiene
I was charged twice for My Ticket Bookings.,Ticketing & Reservation Issues
The online ticketing system is NOT working.,Ticketing & Reservation Issues
Frequent cancellation of this route is causing problems. ,Ticketing & Reservation Issues
Male staff members treated female customers worse.,Customer Service & Staff Complaints
Guard refused to provide information about Train timetables.,Train Delays & Cancellations
Catering personnel overcharges for the food items.,Food & Catering Issues
Resistant buttons on my ticket were notworking.,Ticketing & Reservation Issues
There may be a foulsmell internal to the compartment.,Coach Cleanliness & Hygiene
Online reservations are notavailable.,Ticketing & Reservation Issues
Temperature inside the train Was highly Uncomfortable.,Train & Station Infrastructure
Refreshments wereNOT available During the entire journey.,Food & Catering Issues
They refuse to provide information about train timelines.,Train Delays & Cancellations
As there is little security personnel on the platform.,Security & Safety Concerns
Train conductor ignored my complaint completely.,Customer Service & Staff Complaints
Forced alcohol consumption by employees was happening.,Customer Service & Staff Complaints
This train had unauthorized passengers traveling without tickets.,Ticketing & Reservation Issues
Trunk openings weren't secured.,Coach Cleanliness & Hygiene
Your website indicates that my ticket was canceled.,Ticketing & Reservation Issues
An airport authority mishandled my baggage.,Luggage & Belongings Issues
Abandoned railway tracks are a threat to safety.,Train & Station Infrastructure
Trains passed without any stop.,Train & Station Infrastructure
Frequent cancelation of this route is causing problems.,Train Delays & Cancellations
The Railway Staff mischievously changed the schedule.,Customer Service & Staff Complaints
Toilets were not cleaned for the entire destination.,Coach Cleanliness & Hygiene
"Whenever there was Any foul smell OR stinky food, nobody did anything.",Food & Catering Issues
Nothing was supplied for my food allergy.,Food & Catering Issues
The wait hall had no proper seat allocation.,Seat Allocation Issues
Footnotes written inside the book were not preserved.,Seat Allocation Issues
